id,time,position,rotation,scale
3252513128,UTC-2023-07-14 01:57:30.862,(-0.65, 0.38, -0.66),(0.41, 0.41, 0.41),(0.00000, 0.00000, 0.00000, 1.00000),
301233088,UTC-2023-07-14 01:57:31.054,(-4.02, 1.29, -1.58),(0.18, 0.18, 0.18),(0.00000, 0.00000, 0.00000, 1.00000),
806613392,UTC-2023-07-14 01:57:31.264,(-4.70, 2.44, -1.23),(0.12, 0.12, 0.12),(0.00000, 0.00000, 0.00000, 1.00000),
2895928560,UTC-2023-07-14 01:57:31.459,(-2.12, 2.74, -0.28),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
2252558928,UTC-2023-07-14 01:57:31.676,(-2.01, 1.11, -1.40),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
1812346848,UTC-2023-07-14 01:57:31.881,(-3.92, 0.91, -2.71),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
4138716544,UTC-2023-07-14 01:57:32.084,(-4.90, 1.33, -2.26),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
946357600,UTC-2023-07-14 01:57:32.271,(-3.72, 1.45, -1.70),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
1943013160,UTC-2023-07-14 01:57:32.500,(-3.04, 1.02, -1.71),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
3351670704,UTC-2023-07-14 01:57:32.701,(-3.73, 0.99, -2.19),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
730625576,UTC-2023-07-14 01:57:32.897,(-4.44, 1.05, -2.42),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
4248825640,UTC-2023-07-14 01:57:33.103,(-4.49, 1.07, -2.42),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
3051308392,UTC-2023-07-14 01:57:33.306,(-4.45, 1.07, -2.42),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
2513126264,UTC-2023-07-14 01:57:33.512,(-4.34, 1.04, -2.44),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
3588289808,UTC-2023-07-14 01:57:33.711,(-4.28, 1.03, -2.45),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
1160453488,UTC-2023-07-14 01:57:33.910,(-4.26, 1.02, -2.47),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
2869037920,UTC-2023-07-14 01:57:34.111,(-4.26, 1.02, -2.47),(0.10, 0.10, 0.10),(0.00000, 0.00000, 0.00000, 1.00000),
